x,y_exp
0.01,2.242521931423962
0.015714285714285715,2.8336624001500743
0.02142857142857143,3.288042797359443
0.027142857142857142,3.7451835901089767
0.032857142857142856,4.108894887880416
0.03857142857142857,4.43586291866926
0.04428571428571429,4.745759446249752
0.05,5.040124549124672
0.055714285714285716,5.3008859764880425
0.06142857142857143,5.552832619390115
0.06714285714285714,5.802233141425732
0.07285714285714286,6.026897786268535
0.07857142857142857,6.238380500159428
0.08428571428571428,6.449820626766949
0.09,6.659443887843964
